wavenumber_cm-1,raw_avg,denoised,normalized,snv
2.820103759765625000e+02,1.580709160698784785e+02,1.581331421632225727e+02,1.555042895503380457e-05,-6.363674713431719532e-01
2.838033752441406250e+02,1.554294134069372149e+02,1.581451570905979054e+02,1.840997282760277885e-05,-6.362480772290665110e-01
2.855981445312500000e+02,1.578154262966579893e+02,1.581700687059413042e+02,2.433891894485208733e-05,-6.360005268151565083e-01
2.873925476074218750e+02,1.577254633020471601e+02,1.582106897226429112e+02,3.400669102353147947e-05,-6.355968697516013455e-01
2.891845092773437500e+02,1.595656043158637090e+02,1.582670129475899330e+02,4.741157710809012067e-05,-6.350371775174292743e-01
2.909782104492187500e+02,1.592087311921296191e+02,1.583405573504717267e+02,6.491509086666194365e-05,-6.343063558857048312e-01
2.927715759277343750e+02,1.601809974952980440e+02,1.584268679474785131e+02,8.545694943130359889e-05,-6.334486746908354338e-01
2.945625000000000000e+02,1.609516646773726904e+02,1.585217185882971194e+02,1.080313321378470476e-04,-6.325061298148565436e-01
2.963551635742187500e+02,1.597198220712167256e+02,1.586242743611668686e+02,1.324395306017304779e-04,-6.314870178996792038e-01
2.981453857421875000e+02,1.578762676097728672e+02,1.587322106472466601e+02,1.581282872496475719e-04,-6.304144390272680143e-01
2.999373474121093750e+02,1.579840138753255303e+02,1.588448692351253158e+02,1.849409482501692239e-04,-6.292949339419716681e-01
3.017268981933593750e+02,1.592290293375650947e+02,1.589623937646477714e+02,2.129116997806738455e-04,-6.281270752733616458e-01
3.035181884765625000e+02,1.587967094138816435e+02,1.590835905045514664e+02,2.417564346792357827e-04,-6.269227253059214133e-01
3.053070068359375000e+02,1.586317319516782334e+02,1.592085301961901109e+02,2.714919893359737197e-04,-6.256811810723342804e-01
3.070975952148437500e+02,1.592252089888961279e+02,1.593381119454720078e+02,3.023323502953387883e-04,-6.243935080239294555e-01
3.088878479003906250e+02,1.584990844726562500e+02,1.594739569470813763e+02,3.346633606990063255e-04,-6.230435961088468533e-01
3.106756591796875000e+02,1.589712897406683965e+02,1.596196581793447535e+02,3.693401467443279090e-04,-6.215957413689269240e-01
3.124651794433593750e+02,1.598506113688150947e+02,1.597780498972217913e+02,4.070372590257422744e-04,-6.200217793925603127e-01
3.142523193359375000e+02,1.598950257477936816e+02,1.599497986246330186e+02,4.479133297457863730e-04,-6.183150868327605965e-01
3.160411682128906250e+02,1.611724220558449190e+02,1.601353527439302127e+02,4.920750735741822495e-04,-6.164712080476416611e-01
3.178275756835937500e+02,1.608665957980685732e+02,1.603339095211336769e+02,5.393314404145590872e-04,-6.144981199237362635e-01
3.196136474609375000e+02,1.620256285490813184e+02,1.605455111230804164e+02,5.896924659430902681e-04,-6.123954034429351934e-01
3.214014892578125000e+02,1.621790121572988994e+02,1.607738443611781918e+02,6.440356085613988067e-04,-6.101264222138435001e-01
3.231868591308593750e+02,1.614844269929108691e+02,1.610222923656439207e+02,7.031660507711912566e-04,-6.076575575700695619e-01
3.249739990234375000e+02,1.611713234230324190e+02,1.612939645673851032e+02,7.678238348399699922e-04,-6.049579106358251579e-01
3.267586669921875000e+02,1.610429020634403798e+02,1.615901233935124708e+02,8.383094174909664666e-04,-6.020149364858021768e-01
3.285451049804687500e+02,1.610222733109085596e+02,1.619058325900330146e+02,9.134479739068345839e-04,-5.988776874075493195e-01
3.303291320800781250e+02,1.625707821316189268e+02,1.622338754578463238e+02,9.915219350130311752e-04,-5.956178768096412890e-01
3.321148681640625000e+02,1.619418476246021328e+02,1.625645633727991992e+02,1.070225415391739621e-03,-5.923317819862751188e-01
3.338981933593750000e+02,1.622839496753833828e+02,1.628848397871426243e+02,1.146450966288067169e-03,-5.891491477875920868e-01
